Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-05-28,43572.82421875,44264.456349206346,43140.55413721478,44178.002332899305,31309318
2020-05-29,43832.19140625,43832.19140625,42967.65114182692,43227.01322115385,27596961
2020-06-01,44264.4609375,44264.4609375,43745.73678588867,43918.64483642578,16949183
2020-06-02,44437.359375,44523.81338156615,43918.63533560311,44091.54334873541,14247933
2020-06-03,47117.4375,47549.70756880734,44696.7251146789,44783.179128440366,49257814
2020-06-04,47203.890625,49278.78691620879,47203.890625,48241.338770604394,40220334
2020-06-05,47981.96875,48327.78474099099,46685.15878378378,47030.974774774775,22743629
2020-06-08,47463.25,48846.51411657559,47290.34198542805,48760.06010928962,25634965
2020-06-09,47981.96875,48846.50872747748,47030.974774774775,48241.33074324324,23998831
2020-06-10,47895.53125,48327.80138763538,47463.26111236462,47636.169167418775,16742493
2020-06-11,46944.53515625,47636.16735008057,45993.54088973296,47117.44320470764,33815123
2020-06-12,45215.4453125,45647.71534416826,44523.813261830786,45042.5372998327,26976019
2020-06-15,43140.55859375,44956.093123747494,43140.55859375,44437.36897231964,28772921
2020-06-16,45042.54296875,45042.54296875,43745.73271053263,44264.456813819575,21808375
2020-06-17,45128.9921875,45734.17024365421,44350.906115301725,45042.53817947797,26672595
2020-06-18,45215.4453125,45215.4453125,44610.26726816444,45128.99130616635,15982926
2020-06-19,45734.16796875,45734.16796875,44610.26592036862,45474.805957585064,18157985
2020-06-22,44956.08984375,45474.81395733173,44783.18180588942,44956.08984375,13801350
2020-06-23,44437.359375,45647.71546692607,44177.99735530155,45388.35344722762,18086152
2020-06-24,45734.16796875,46598.708005966444,44610.26592036862,44869.627931533556,24519552
2020-06-25,44869.640625,45820.6349349711,44869.640625,45042.548681358385,18541624
2020-06-26,46079.99609375,46598.72025240385,45129.00180288462,45647.72596153846,21575360
2020-06-29,45604.79296875,46301.04934995229,45256.66477814886,45691.82501640029,17776925
2020-06-30,45952.921875,46910.2744140625,45952.921875,46910.2744140625,21157172
2020-07-01,45778.86328125,46649.18387595057,45604.799162309886,46475.119757010456,16706143
2020-07-02,46039.94921875,46039.94921875,45343.69289786153,45343.69289786153,14142583
2020-07-03,46649.17578125,46649.17578125,45865.887381937966,46126.98351504198,11887868
2020-07-06,47867.625,47867.625,46823.240454545456,46997.30454545455,19856623
2020-07-07,46475.12109375,48650.92264308287,46475.12109375,48563.890581109554,30760032
2020-07-08,46126.984375,46910.2727889151,46039.95232900944,46649.1766509434,19664652
2020-07-09,45952.921875,46649.178267045456,45952.921875,46301.05007102273,17054850
2020-07-10,45865.890625,46301.05087760911,45517.76242291272,46214.01882708729,13714746
2020-07-13,46475.12109375,46823.24934164326,46214.02490783006,46388.08903177669,12240188
2020-07-14,46823.2421875,46823.2421875,46301.04989544609,46736.210138824346,14269484
2020-07-15,47606.52734375,47867.62347177788,47258.39917304616,47345.43121572212,24051450
2020-07-16,46823.2421875,47693.5626742565,46823.2421875,47693.5626742565,16779127
2020-07-17,47345.4375,47606.533662683825,47084.34133731618,47171.37339154412,10096174
